file,instrument,bpm,noise_level,tone_freq,body,decay,brightness,style,rms,max,min,mean
hat\hat_loop_00362.wav,hat,174,0.6373119653115549,7278.264533933632,0.1843767508441345,0.029212976428549964,0.24784562643156266,neuro,0.13744492828845978,1.0,-0.9438841342926025,-1.468352479605528e-06
hat\hat_loop_00363.wav,hat,174,0.5896179644809035,10227.422706336856,0.15414283239032636,0.10321427160196511,0.4885615399595777,default,0.19036798179149628,0.9714275002479553,-1.0,-1.9621304545580642e-06
hat\hat_loop_00364.wav,hat,174,0.7189433883899102,7291.599708832546,0.19398482476934867,0.02014514439064956,0.19494661072330546,default,0.12658049166202545,1.0,-0.9586315751075745,1.4887564958598887e-08
hat\hat_loop_00365.wav,hat,174,0.6078967688400865,8811.140681402692,0.15161309482878882,0.07847034143215056,0.45219813803918146,jungle,0.16805562376976013,0.9243525266647339,-1.0,-1.7837921859609196e-06
hat\hat_loop_00366.wav,hat,174,0.6747268221197265,7179.103269495543,0.20253789631192484,0.020875596465186576,0.20885578847629077,default,0.1326265186071396,0.978284478187561,-1.0,-2.2258325316215632e-06
hat\hat_loop_00367.wav,hat,174,0.5937847799968271,10497.307244280744,0.1442245643356122,0.10180510902776632,0.47665441055787894,default,0.18518371880054474,0.9470041990280151,-1.0,-2.204879365308443e-06
hat\hat_loop_00368.wav,hat,174,0.6716516362490179,6925.157941482394,0.20996043144937657,0.020614803622835614,0.1973465381182937,default,0.13617104291915894,0.9909624457359314,-1.0,3.185412879247451e-06
hat\hat_loop_00369.wav,hat,174,0.48155354536720596,8211.254364532213,0.09574953615856498,0.01935060814906163,0.7638745541727846,default,0.12768849730491638,0.8186094760894775,-1.0,-1.1490682254589046e-06
hat\hat_loop_00370.wav,hat,174,0.5852097106096533,10083.412612462103,0.1452491781012064,0.09904912489265526,0.4896031688310148,default,0.1797197163105011,1.0,-0.9941664934158325,5.400273494160501e-06
hat\hat_loop_00371.wav,hat,174,0.5155927180272551,8067.172521008561,0.10246048973191406,0.02092953264599828,0.8079018133917513,default,0.1272774487733841,0.9586553573608398,-1.0,2.493949295967468e-06
hat\hat_loop_00372.wav,hat,174,0.589444277626064,10362.672802945992,0.15423597796557503,0.10025756130705148,0.4836373339221417,default,0.18470072746276855,1.0,-0.9894563555717468,-6.32323462923523e-07
hat\hat_loop_00373.wav,hat,174,0.6910006159654568,6979.211120699308,0.19822124482169934,0.019933924082020233,0.1923442851073611,default,0.13848893344402313,1.0,-0.9957024455070496,-1.1790817779910867e-06
