file,instrument,bpm,freq,amp,decay,drive,sub_oct,filter_cut,osc_type,style,rms,max,min,mean
bass\bass_loop_00568.wav,bass,174,38.747567451140625,0.882148121324153,0.7773015621213797,0.0,0.0,156.10369394388246,sine,default,0.4804326593875885,0.9966548085212708,-1.0,0.005455279257148504
bass\bass_loop_00569.wav,bass,174,51.18642836404091,0.8761710009326646,0.6643218811350426,0.8348154698884035,0.9734005454882052,155.98569843854966,saw,techstep,0.4841836392879486,0.996788740158081,-1.0,0.0012663693632930517
bass\bass_loop_00570.wav,bass,174,51.20628378474471,0.8952428901081622,0.6524547746810277,0.8206587119171491,0.9946186428032112,153.23428114399852,saw,techstep,0.4910152852535248,0.9967936873435974,-1.0,0.0013731896178796887
bass\bass_loop_00571.wav,bass,174,49.99409437292003,0.9410834205487397,0.6788510060322076,0.6837078773555878,0.9696355455668713,122.19189645669502,sine,default,0.5601415038108826,1.0,-0.9968590140342712,5.985663665342145e-05
bass\bass_loop_00572.wav,bass,174,49.31376531745009,0.9768168847737579,0.7089470847183317,0.6706871461762597,1.0258663716652696,124.69841497106195,sine,default,0.5213556885719299,0.9972701072692871,-1.0,-0.0012344139395281672
bass\bass_loop_00573.wav,bass,174,62.71250259367912,0.9352243057518812,0.5118908429484768,0.6261472310865865,1.0190283723630758,187.62241384783366,saw,jumpup,0.46599867939949036,0.9965487122535706,-1.0,-0.00038992706686258316
bass\bass_loop_00574.wav,bass,174,49.03331314923314,0.8774143523330488,0.6464811357393917,0.7695582201899058,1.0212086656221413,145.2974040150435,saw,techstep,0.5343545079231262,0.9973806142807007,-1.0,-0.00024296330229844898
bass\bass_loop_00575.wav,bass,174,46.26173698304376,0.8865339729351869,0.6655609803725888,0.4100086610788608,1.0263772900009476,95.56889952578851,sine,liquid,0.5242928862571716,0.9982898235321045,-1.0,-0.00041195706580765545
bass\bass_loop_00576.wav,bass,174,50.86487739055289,0.9871883476158834,0.7010873986625275,0.6688295444722948,1.0025217503092407,125.78209471816075,sine,default,0.4969770014286041,0.998790442943573,-1.0,-3.762155756703578e-05
bass\bass_loop_00577.wav,bass,174,54.38235037532594,0.9405424997805562,0.5844966145338284,0.30816693524902494,0.9554428472687932,200.85722101545906,saw,default,0.5472902655601501,0.9966385364532471,-1.0,0.0011282535269856453
bass\bass_loop_00578.wav,bass,174,56.54954447573274,0.915595841564584,0.5705083526109763,0.3023913436488229,0.999248985356489,197.1623318319143,saw,default,0.5094719529151917,0.9963315725326538,-1.0,-0.0007779382867738605
bass\bass_loop_00579.wav,bass,174,48.78100428883452,0.8913550686500753,0.6438119092787391,0.8102342780955085,1.0099745903103592,142.98469378896564,saw,techstep,0.5975733399391174,0.9970381855964661,-1.0,0.0013150471495464444
bass\bass_loop_00580.wav,bass,174,45.01561401955695,0.8650879437218613,0.7022597550650532,0.39957006751793467,1.0132032758922669,97.71195675577144,sine,liquid,0.5028179883956909,0.9996215105056763,-1.0,0.0012350634206086397
bass\bass_loop_00581.wav,bass,174,57.56894540485481,0.8971447002089316,0.6198375788296596,0.295346270105582,0.964604292719068,197.0332606231018,saw,default,0.5646523237228394,0.9975987672805786,-1.0,-0.00018555620044935495
bass\bass_loop_00582.wav,bass,174,45.84541306858,0.8566557724505464,0.6667831995015809,0.38457879357673896,1.034761868813348,104.83042772816704,sine,liquid,0.6144669651985168,0.9961735010147095,-1.0,0.0024963088799268007
bass\bass_loop_00583.wav,bass,174,43.27487109001737,0.8723333853864562,0.6857894826367111,0.39385335721492765,0.9508381107033869,95.92257205924288,sine,liquid,0.5311506986618042,0.9972468614578247,-1.0,0.00026020221412181854
bass\bass_loop_00584.wav,bass,174,49.13541249776401,0.9097339309923045,0.6199462858127183,0.7792762547691066,1.0338869401419113,150.7249721558573,saw,techstep,0.5241604447364807,0.9973309636116028,-1.0,-0.0007334503461606801
bass\bass_loop_00585.wav,bass,174,46.31145786149264,0.8748747575928998,0.7209808793867037,0.4021939831195222,0.9800944121735018,98.84155144727251,sine,liquid,0.5228145718574524,0.997450053691864,-1.0,-0.0006762915290892124
bass\bass_loop_00586.wav,bass,174,51.72929413268276,0.9789816765808768,0.6790118358636303,0.7001255893944558,0.9904034129247224,123.25990047435499,sine,default,0.578720211982727,0.9971440434455872,-1.0,0.000845411152113229
bass\bass_loop_00587.wav,bass,174,49.587088287807376,0.9656862597799659,0.7157652451060954,0.734550056091748,1.0432933334349377,118.85360513665952,sine,default,0.5394116044044495,1.0,-0.9990249276161194,-0.0015042014420032501
bass\bass_loop_00588.wav,bass,174,56.75695144580759,0.8742960537615722,0.6052367776129391,0.3126476346213247,1.03838602215113,190.84773359210203,saw,default,0.48379746079444885,0.9965568780899048,-1.0,-0.00042958863195963204
bass\bass_loop_00589.wav,bass,174,47.6810456927038,0.944495985305193,0.6600498979588503,0.823902194960246,0.9635566534610072,146.17436173711644,saw,techstep,0.4892313480377197,0.9963533878326416,-1.0,0.0013241232372820377
bass\bass_loop_00590.wav,bass,174,47.61631369726271,0.9928466572553295,0.6802486160342831,0.7075867374033437,1.0036917335901043,118.77337502147887,sine,default,0.47856247425079346,0.997744083404541,-1.0,0.0015777114313095808
bass\bass_loop_00591.wav,bass,174,52.89921269822546,0.9342185754735536,0.5831795122708704,0.2875307654529042,1.016977136356847,190.35135627442688,saw,default,0.5532141327857971,0.99849933385849,-1.0,0.00014129826740827411
bass\bass_loop_00592.wav,bass,174,47.01142337573067,0.8259886007086851,0.6914959128608765,0.39597271378172094,0.9703801868695183,97.44384659158027,sine,liquid,0.5934172868728638,1.0,-0.9967855215072632,-0.0002448302402626723
bass\bass_loop_00593.wav,bass,174,47.89798703989147,0.9444269160982082,0.7116798619273066,0.6787490419681211,1.040979318924701,120.07813120269539,sine,default,0.5029311180114746,0.9978751540184021,-1.0,0.0007573598995804787
bass\bass_loop_00594.wav,bass,174,45.432721773376365,0.8588738139586817,0.6982654988111703,0.41203712772881296,0.9636493518194549,101.20835221242646,sine,liquid,0.5072827935218811,0.9991578459739685,-1.0,0.002712346613407135
bass\bass_loop_00595.wav,bass,174,57.121350346641094,0.8617334138394435,0.49207758726025247,0.5752602629434299,0.9817702534868692,171.0404373778806,saw,jumpup,0.5095037817955017,0.9959190487861633,-1.0,0.0008818830829113722
bass\bass_loop_00596.wav,bass,174,62.818031832926394,0.9069143095994905,0.4916138186546603,0.5822362421156849,0.9906871891874137,183.28908597108426,saw,jumpup,0.4862527549266815,0.9967875480651855,-1.0,3.361363633302972e-05
bass\bass_loop_00597.wav,bass,174,50.29406878690886,0.9756696919935259,0.6657438688200704,0.6875383185403123,1.0475161450829744,115.67749364071098,sine,default,0.4948897063732147,0.9999735355377197,-1.0,0.0014024884440004826
bass\bass_loop_00598.wav,bass,174,40.90150258263634,0.8455759939442367,0.7908101885057925,0.0,0.0,155.7742280892204,sine,default,0.539536714553833,0.9964300394058228,-1.0,-0.0006471160450018942
bass\bass_loop_00599.wav,bass,174,52.35778109050362,0.963044822880225,0.6655587264505725,0.7265280216000523,1.0176639835007424,114.7398588138625,sine,default,0.525938093662262,1.0,-0.9983872175216675,-0.001569461775943637
bass\bass_loop_00600.wav,bass,174,42.92881160271816,0.8347316055087447,0.7330244597501727,0.4125519693673064,1.0067750014402168,104.21185944364814,sine,liquid,0.6111012697219849,0.9962033033370972,-1.0,0.0029822441283613443
bass\bass_loop_00601.wav,bass,174,48.89974156931985,0.939382190338697,0.6381053184576997,0.8397922240345307,0.9675688943997941,149.0896152473532,saw,techstep,0.557500958442688,0.9972789883613586,-1.0,0.0004895314923487604
bass\bass_loop_00602.wav,bass,174,42.9202840505314,0.8240966695423663,0.7056176346008118,0.3834692035565001,1.0308448538726223,104.67363414231409,sine,liquid,0.6065210103988647,0.9960616827011108,-1.0,0.003031995380297303
bass\bass_loop_00603.wav,bass,174,40.92189657376921,0.8359281084330251,0.7641458354609034,0.0,0.0,150.90706547153195,sine,default,0.5428025126457214,0.9963240623474121,-1.0,-0.0005899265524931252
bass\bass_loop_00604.wav,bass,174,49.04512523452365,0.8860416807448177,0.6754021367010489,0.8287143575662659,1.0168931065522957,150.12828330198764,saw,techstep,0.5339762568473816,0.9975263476371765,-1.0,-0.00032583222491666675
bass\bass_loop_00605.wav,bass,174,56.583787745095165,0.9270688285611933,0.6292383024589827,0.30554275206165415,0.9799512737880526,199.975216734785,saw,default,0.5062946081161499,0.996623694896698,-1.0,-0.0007667220779694617
bass\bass_loop_00606.wav,bass,174,50.42515873431044,0.9174789917740451,0.7163468504189248,0.724852528823652,1.044663626579458,121.73009576512794,sine,default,0.4708394408226013,0.9991777539253235,-1.0,0.001279746531508863
bass\bass_loop_00607.wav,bass,174,59.94138499938366,0.9337331184027747,0.5081328585372794,0.618070644403019,0.9879036054935809,177.75226660154354,saw,jumpup,0.49791109561920166,0.9965296387672424,-1.0,0.0003187416587024927
bass\bass_loop_00608.wav,bass,174,38.06501157200137,0.8698580591971496,0.8249847079017498,0.0,0.0,150.08812813593602,sine,default,0.550882875919342,0.9963271617889404,-1.0,8.804276149021462e-05
bass\bass_loop_00609.wav,bass,174,49.12324263929175,0.8716005398133734,0.6778651917072053,0.7787548265338788,0.9645045774211082,148.6244517584859,saw,techstep,0.5268658995628357,0.9975510835647583,-1.0,-0.0006759348325431347
bass\bass_loop_00610.wav,bass,174,46.66996928009581,0.8396652103509865,0.6884123523900019,0.3828260198479629,1.049261062306559,101.40109587394635,sine,liquid,0.5370674729347229,1.0,-0.9976227879524231,-0.0012884415918961167
bass\bass_loop_00611.wav,bass,174,49.71109333234363,0.9445110913734308,0.6530451581010899,0.7948948902773774,0.9895795745011026,145.4942557296542,saw,techstep,0.561417818069458,1.0,-0.9988583922386169,-0.001170761650428176
bass\bass_loop_00612.wav,bass,174,38.82470705272751,0.8592171878235135,0.8327858601461242,0.0,0.0,146.38193689732165,sine,default,0.47233450412750244,0.9968355894088745,-1.0,0.005143693648278713
bass\bass_loop_00613.wav,bass,174,48.575397363749815,0.9944436114491366,0.7154152246229352,0.725554112635373,1.020542412394342,121.52363767184862,sine,default,0.5507572889328003,0.9965258836746216,-1.0,0.0022683602292090654
bass\bass_loop_00614.wav,bass,174,40.17271289311524,0.8398055694614963,0.8143967440814786,0.0,0.0,146.95602885257009,sine,default,0.5673826336860657,0.9966527819633484,-1.0,0.0017429738072678447
